time=2026-08-29T18:30:07.928+08:00 level=DEBUG msg="Loaded prompt" id=app-configuration-dp-dotnet-crud path=prompts\app-configuration\data-plane\dotnet\config-values.prompt.md
time=2026-08-29T18:30:07.930+08:00 level=DEBUG msg="Loaded prompt" id=app-configuration-dp-java-crud path=prompts\app-configuration\data-plane\java\config-values.prompt.md
time=2026-08-29T18:30:07.931+08:00 level=DEBUG msg="Loaded prompt" id=app-configuration-dp-java-feature-flags path=prompts\app-configuration\data-plane\java\feature-flags.prompt.md
time=2026-08-29T18:30:07.933+08:00 level=DEBUG msg="Loaded prompt" id=app-configuration-dp-js-ts-crud path=prompts\app-configuration\data-plane\js-ts\config-values.prompt.md
time=2026-08-29T18:30:07.935+08:00 level=DEBUG msg="Loaded prompt" id=app-configuration-dp-python-crud path=prompts\app-configuration\data-plane\python\config-values.prompt.md
time=2026-08-29T18:30:07.937+08:00 level=DEBUG msg="Loaded prompt" id=app-configuration-dp-python-feature-flags path=prompts\app-configuration\data-plane\python\feature-flags.prompt.md
time=2026-08-29T18:30:07.939+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-dotnet-crud path=prompts\cosmos-db\data-plane\dotnet\crud-items.prompt.md
time=2026-08-29T18:30:07.939+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-dotnet-error-handling path=prompts\cosmos-db\data-plane\dotnet\error-handling.prompt.md
time=2026-08-29T18:30:07.939+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-dotnet-pagination path=prompts\cosmos-db\data-plane\dotnet\pagination-query-items.prompt.md
time=2026-08-29T18:30:07.946+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-java-crud path=prompts\cosmos-db\data-plane\java\crud-items.prompt.md
time=2026-08-29T18:30:07.948+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-java-todo-repository path=prompts\cosmos-db\data-plane\java\todo-repository.prompt.md
time=2026-08-29T18:30:07.951+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-js-ts-crud path=prompts\cosmos-db\data-plane\js-ts\crud-items.prompt.md
time=2026-08-29T18:30:07.953+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-python-crud path=prompts\cosmos-db\data-plane\python\crud-items.prompt.md
time=2026-08-29T18:30:07.955+08:00 level=DEBUG msg="Loaded prompt" id=cosmos-db-dp-python-todo-repository path=prompts\cosmos-db\data-plane\python\todo-repository.prompt.md
time=2026-08-29T18:30:07.957+08:00 level=DEBUG msg="Loaded prompt" id=event-hubs-dp-dotnet-streaming path=prompts\event-hubs\data-plane\dotnet\send-receive-events.prompt.md
time=2026-08-29T18:30:07.960+08:00 level=DEBUG msg="Loaded prompt" id=event-hubs-dp-java-streaming path=prompts\event-hubs\data-plane\java\send-receive-events.prompt.md
time=2026-08-29T18:30:07.963+08:00 level=DEBUG msg="Loaded prompt" id=event-hubs-dp-js-ts-streaming path=prompts\event-hubs\data-plane\js-ts\send-receive-events.prompt.md
time=2026-08-29T18:30:07.966+08:00 level=DEBUG msg="Loaded prompt" id=event-hubs-dp-python-streaming path=prompts\event-hubs\data-plane\python\send-receive-events.prompt.md
time=2026-08-29T18:30:07.971+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-cpp-default-credential path=prompts\identity\data-plane\cpp\default-azure-credential.prompt.md
time=2026-08-29T18:30:07.973+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-cpp-managed-identity path=prompts\identity\data-plane\cpp\managed-identity-auth.prompt.md
time=2026-08-29T18:30:07.976+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-cpp-service-principal path=prompts\identity\data-plane\cpp\service-principal-auth.prompt.md
time=2026-08-29T18:30:07.979+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-dotnet-default-credential path=prompts\identity\data-plane\dotnet\default-azure-credential.prompt.md
time=2026-08-29T18:30:07.980+08:00 level=DEBUG msg="Loaded prompt" id=identity-dp-dotnet-managed-identity path=prompts\identity\data-plane\dotnet\managed-identity-auth.prompt.md
